,repo_id,forks,year_month,community
1567,336274588,266,2021-06,PaddleNLP
1568,251201169,230,2021-06,
1569,162672577,193,2021-06,PaddleHub
1570,262296122,151,2021-06,PaddleOCR
1571,65711522,113,2021-06,Paddle
1572,217475193,81,2021-06,PaddleDetection
1573,246509073,74,2021-06,
1574,227347371,52,2021-06,
1575,273214029,48,2021-06,PaddleGAN
1576,240226378,36,2021-06,
1577,204380779,30,2021-06,PaddleSeg
1578,88868842,24,2021-06,models
1579,104208128,21,2021-06,
1580,131044128,17,2021-06,
1581,136450404,16,2021-06,
1582,173544440,15,2021-06,
1583,110688239,14,2021-06,
1584,276845708,13,2021-06,
1585,312259012,12,2021-06,
1586,164796418,9,2021-06,
1587,228290594,9,2021-06,PaddleSlim
1588,203514079,9,2021-06,
1589,243677660,8,2021-06,
1590,261698998,8,2021-06,
1591,76616099,6,2021-06,
1592,250154445,6,2021-06,
1593,191286408,6,2021-06,
1594,240230342,5,2021-06,
1595,178685945,5,2021-06,
1596,259513732,5,2021-06,
1597,314704349,4,2021-06,
1598,161509700,4,2021-06,
1599,173032424,4,2021-06,
1600,127058653,3,2021-06,
1601,114885555,3,2021-06,
1602,233520812,3,2021-06,
1603,210873203,2,2021-06,
1604,127693333,2,2021-06,
1605,321995806,2,2021-06,
1606,227880026,2,2021-06,
1607,171811851,1,2021-06,
1608,259220361,1,2021-06,
1609,244790548,1,2021-06,
1610,264782838,1,2021-06,
1611,302509341,1,2021-06,
1612,196743910,1,2021-06,
1613,333611338,1,2021-06,
1614,365999954,1,2021-06,
1615,228297846,0,2021-06,
1616,225549581,0,2021-06,
1617,133907444,0,2021-06,
1618,89484677,0,2021-06,
1619,103466347,0,2021-06,
1620,319575342,0,2021-06,
1621,210520127,0,2021-06,
1622,274012656,0,2021-06,
1623,125206311,0,2021-06,
1624,227347371,177,2021-07,
1625,262296122,162,2021-07,PaddleOCR
1626,204380779,131,2021-07,PaddleSeg
1627,65711522,98,2021-07,Paddle
1628,336274588,79,2021-07,PaddleNLP
1629,217475193,63,2021-07,PaddleDetection
1630,246509073,42,2021-07,
1631,162672577,34,2021-07,PaddleHub
1632,251201169,31,2021-07,
1633,88868842,27,2021-07,models
1634,240226378,26,2021-07,
1635,273214029,21,2021-07,PaddleGAN
1636,136450404,20,2021-07,
1637,104208128,20,2021-07,
1638,173544440,19,2021-07,
1639,259513732,16,2021-07,
1640,131044128,14,2021-07,
1641,383138186,13,2021-07,
1642,210873203,11,2021-07,
1643,191286408,10,2021-07,
1644,164796418,7,2021-07,
1645,110688239,7,2021-07,
1646,312259012,6,2021-07,
1647,114885555,6,2021-07,
1648,178685945,6,2021-07,
1649,276845708,6,2021-07,
1650,127693333,6,2021-07,
1651,127058653,5,2021-07,
1652,250154445,5,2021-07,
1653,76616099,5,2021-07,
1654,161509700,4,2021-07,
1655,173032424,4,2021-07,
1656,314704349,4,2021-07,
1657,261698998,4,2021-07,
1658,228290594,4,2021-07,PaddleSlim
1659,203514079,4,2021-07,
1660,274012656,3,2021-07,
1661,365999954,3,2021-07,
1662,240230342,3,2021-07,
1663,264782838,3,2021-07,
1664,243677660,2,2021-07,
1665,259220361,1,2021-07,
1666,228297846,1,2021-07,
1667,333611338,1,2021-07,
1668,196743910,1,2021-07,
1669,321995806,1,2021-07,
1670,244790548,0,2021-07,
1671,75912778,0,2021-07,
1672,98599362,0,2021-07,
1673,101101544,0,2021-07,
1674,302509341,0,2021-07,
1675,203899406,0,2021-07,
1676,385199026,0,2021-07,
1677,171811851,0,2021-07,
1678,224622052,0,2021-07,
1679,105703784,0,2021-07,
1680,103466347,0,2021-07,
1681,319575342,0,2021-07,
1682,233520812,0,2021-07,
1683,89484677,0,2021-07,
1684,203736612,0,2021-07,
1685,189339212,0,2021-07,
1686,133907444,0,2021-07,
1687,227880026,0,2021-07,
1688,93210289,0,2021-07,
1689,289874518,0,2021-07,
1690,125206311,0,2021-07,
1691,92895339,0,2021-07,
1692,296268741,0,2021-07,
1693,225549581,0,2021-07,
1694,210520127,0,2021-07,
1695,88800008,0,2021-07,
1696,137793455,0,2021-07,
1697,262296122,280,2021-08,PaddleOCR
1698,227347371,88,2021-08,
1699,65711522,87,2021-08,Paddle
1700,204380779,77,2021-08,PaddleSeg
1701,217475193,64,2021-08,PaddleDetection
1702,336274588,51,2021-08,PaddleNLP
1703,273214029,40,2021-08,PaddleGAN
1704,162672577,32,2021-08,PaddleHub
1705,246509073,30,2021-08,
1706,131044128,26,2021-08,
1707,251201169,21,2021-08,
1708,240226378,21,2021-08,
1709,88868842,21,2021-08,models
1710,259513732,20,2021-08,
1711,104208128,19,2021-08,
1712,173544440,18,2021-08,
1713,173032424,14,2021-08,
1714,383138186,14,2021-08,
1715,191286408,9,2021-08,
1716,136450404,9,2021-08,
1717,164796418,6,2021-08,
1718,314704349,6,2021-08,
1719,161509700,6,2021-08,
1720,178685945,6,2021-08,
1721,240230342,6,2021-08,
1722,110688239,5,2021-08,
1723,228290594,5,2021-08,PaddleSlim
1724,312259012,4,2021-08,
1725,203514079,4,2021-08,
1726,233520812,3,2021-08,
1727,333611338,3,2021-08,
1728,210873203,3,2021-08,
1729,127058653,3,2021-08,
1730,276845708,3,2021-08,
1731,76616099,3,2021-08,
1732,114885555,3,2021-08,
1733,243677660,2,2021-08,
1734,196743910,1,2021-08,
1735,250154445,1,2021-08,
1736,264782838,1,2021-08,
1737,319575342,1,2021-08,
1738,261698998,1,2021-08,
1739,89484677,1,2021-08,
1740,210520127,0,2021-08,
1741,274012656,0,2021-08,
1742,289874518,0,2021-08,
1743,365999954,0,2021-08,
1744,302509341,0,2021-08,
1745,225549581,0,2021-08,
1746,127693333,0,2021-08,
1747,259220361,0,2021-08,
1748,244790548,0,2021-08,
1749,101101544,0,2021-08,
1750,228297846,0,2021-08,
1751,262296122,255,2021-09,PaddleOCR
1752,65711522,98,2021-09,Paddle
1753,336274588,73,2021-09,PaddleNLP
1754,217475193,54,2021-09,PaddleDetection
1755,204380779,49,2021-09,PaddleSeg
1756,162672577,30,2021-09,PaddleHub
1757,173032424,28,2021-09,
1758,88868842,27,2021-09,models
1759,104208128,26,2021-09,
1760,131044128,24,2021-09,
1761,273214029,24,2021-09,PaddleGAN
1762,136450404,23,2021-09,
1763,312259012,22,2021-09,
1764,246509073,21,2021-09,
1765,251201169,20,2021-09,
1766,227347371,19,2021-09,
1767,259513732,14,2021-09,
1768,240226378,13,2021-09,
1769,173544440,11,2021-09,
1770,314704349,10,2021-09,
1771,319575342,10,2021-09,
1772,333611338,10,2021-09,
1773,127058653,7,2021-09,
1774,276845708,7,2021-09,
1775,233520812,6,2021-09,
1776,240230342,6,2021-09,
1777,110688239,6,2021-09,
1778,243677660,6,2021-09,
1779,203514079,6,2021-09,
1780,178685945,5,2021-09,
1781,191286408,5,2021-09,
1782,228290594,5,2021-09,PaddleSlim
1783,164796418,5,2021-09,
1784,114885555,3,2021-09,
1785,76616099,3,2021-09,
1786,161509700,3,2021-09,
1787,383138186,3,2021-09,
1788,264782838,2,2021-09,
1789,365999954,2,2021-09,
1790,261698998,2,2021-09,
1791,250154445,2,2021-09,
1792,259220361,1,2021-09,
1793,321995806,1,2021-09,
1794,403829741,1,2021-09,
1795,274012656,1,2021-09,
1796,196743910,1,2021-09,
1797,210873203,1,2021-09,
1798,227880026,0,2021-09,
1799,89484677,0,2021-09,
1800,133907444,0,2021-09,
1801,210520127,0,2021-09,
1802,224622052,0,2021-09,
1803,225549581,0,2021-09,
1804,103466347,0,2021-09,
1805,302509341,0,2021-09,
1806,244790548,0,2021-09,
1807,127693333,0,2021-09,
1808,262296122,63,2021-10,PaddleOCR
1809,246509073,41,2021-10,
1810,336274588,34,2021-10,PaddleNLP
1811,65711522,24,2021-10,Paddle
1812,251201169,23,2021-10,
1813,88868842,14,2021-10,models
1814,312259012,14,2021-10,
1815,204380779,12,2021-10,PaddleSeg
1816,217475193,11,2021-10,PaddleDetection
1817,227347371,10,2021-10,
1818,104208128,8,2021-10,
1819,131044128,8,2021-10,
1820,273214029,8,2021-10,PaddleGAN
1821,173544440,7,2021-10,
1822,162672577,7,2021-10,PaddleHub
1823,383138186,6,2021-10,
1824,240226378,6,2021-10,
1825,136450404,5,2021-10,
1826,173032424,5,2021-10,
1827,210873203,3,2021-10,
1828,203514079,3,2021-10,
1829,110688239,2,2021-10,
1830,314704349,2,2021-10,
1831,276845708,2,2021-10,
1832,191286408,2,2021-10,
1833,261698998,2,2021-10,
1834,243677660,2,2021-10,
1835,259513732,2,2021-10,
1836,319575342,2,2021-10,
1837,233520812,2,2021-10,
1838,161509700,2,2021-10,
1839,127058653,2,2021-10,
1840,228290594,1,2021-10,PaddleSlim
1841,250154445,1,2021-10,
1842,164796418,1,2021-10,
1843,321995806,1,2021-10,
1844,114885555,1,2021-10,
1845,240230342,1,2021-10,
1846,365999954,1,2021-10,
1847,264782838,1,2021-10,
1848,133907444,0,2021-10,
1849,178685945,0,2021-10,
1850,228297846,0,2021-10,
1851,227880026,0,2021-10,
1852,196743910,0,2021-10,
1853,302509341,0,2021-10,
1854,89484677,0,2021-10,
1855,403829741,0,2021-10,
1856,171811851,0,2021-10,
1857,244790548,0,2021-10,
1858,101101544,0,2021-10,
1859,76616099,0,2021-10,
1860,274012656,0,2021-10,
1861,333611338,0,2021-10,
1862,217475193,170,2021-11,PaddleDetection
1863,262296122,135,2021-11,PaddleOCR
1864,204380779,134,2021-11,PaddleSeg
1865,251201169,133,2021-11,
1866,65711522,96,2021-11,Paddle
1867,273214029,61,2021-11,PaddleGAN
1868,336274588,52,2021-11,PaddleNLP
1869,259513732,43,2021-11,
1870,88868842,36,2021-11,models
1871,246509073,27,2021-11,
1872,227347371,27,2021-11,
1873,131044128,25,2021-11,
1874,312259012,24,2021-11,
1875,240226378,23,2021-11,
1876,162672577,22,2021-11,PaddleHub
1877,104208128,18,2021-11,
1878,173544440,13,2021-11,
1879,110688239,13,2021-11,
1880,136450404,11,2021-11,
1881,264782838,10,2021-11,
