,repo_id,stars,year_month,community
394,103829150,1,2019-02,
395,98599362,1,2019-02,
396,93210289,1,2019-02,
397,127693333,0,2019-02,
398,79296035,0,2019-02,
399,162672577,0,2019-02,PaddleHub
400,75261722,0,2019-02,
401,171811851,0,2019-02,
402,73922086,0,2019-02,
403,161509700,0,2019-02,
404,139537415,0,2019-02,
405,173032424,0,2019-02,
406,125206311,0,2019-02,
407,127058653,0,2019-02,
408,88800008,0,2019-02,
409,164796418,0,2019-02,
410,76994289,0,2019-02,
411,173544440,805,2019-03,
412,65711522,233,2019-03,Paddle
413,88868842,178,2019-03,models
414,76616099,65,2019-03,
415,114885555,40,2019-03,
416,104208128,36,2019-03,
417,110688239,28,2019-03,
418,131044128,23,2019-03,
419,133907444,15,2019-03,
420,136450404,4,2019-03,
421,123634214,3,2019-03,
422,127058653,3,2019-03,
423,164796418,2,2019-03,
424,89484677,2,2019-03,
425,103829150,1,2019-03,
426,173032424,1,2019-03,
427,127693333,1,2019-03,
428,93210289,1,2019-03,
429,171811851,1,2019-03,
430,78274119,1,2019-03,
431,101101544,1,2019-03,
432,178685945,0,2019-03,
433,75912778,0,2019-03,
434,161509700,0,2019-03,
435,162672577,0,2019-03,PaddleHub
436,103466347,0,2019-03,
437,65711522,286,2019-04,Paddle
438,88868842,246,2019-04,models
439,173544440,214,2019-04,
440,76616099,73,2019-04,
441,104208128,54,2019-04,
442,162672577,50,2019-04,PaddleHub
443,114885555,41,2019-04,
444,131044128,38,2019-04,
445,164796418,36,2019-04,
446,110688239,36,2019-04,
447,171811851,20,2019-04,
448,133907444,13,2019-04,
449,178685945,6,2019-04,
450,123634214,5,2019-04,
451,101101544,4,2019-04,
452,173032424,3,2019-04,
453,98599362,2,2019-04,
454,75912778,2,2019-04,
455,93210289,1,2019-04,
456,105948868,1,2019-04,
457,136450404,1,2019-04,
458,161509700,1,2019-04,
459,103466347,0,2019-04,
460,179445887,0,2019-04,
461,89484677,0,2019-04,
462,127693333,0,2019-04,
463,125206311,0,2019-04,
464,127058653,0,2019-04,
465,88868842,333,2019-05,models
466,65711522,281,2019-05,Paddle
467,173544440,171,2019-05,
468,76616099,86,2019-05,
469,104208128,55,2019-05,
470,114885555,41,2019-05,
471,110688239,39,2019-05,
472,162672577,20,2019-05,PaddleHub
473,133907444,20,2019-05,
474,131044128,17,2019-05,
475,164796418,12,2019-05,
476,171811851,7,2019-05,
477,123634214,4,2019-05,
478,101101544,4,2019-05,
479,173032424,3,2019-05,
480,136450404,2,2019-05,
481,127693333,2,2019-05,
482,103466347,1,2019-05,
483,161509700,1,2019-05,
484,178685945,1,2019-05,
485,98599362,1,2019-05,
486,125206311,0,2019-05,
487,93210289,0,2019-05,
488,75912778,0,2019-05,
489,189339212,0,2019-05,
490,88868842,383,2019-06,models
491,65711522,285,2019-06,Paddle
492,173544440,224,2019-06,
493,104208128,78,2019-06,
494,76616099,59,2019-06,
495,162672577,55,2019-06,PaddleHub
496,114885555,38,2019-06,
497,110688239,33,2019-06,
498,133907444,24,2019-06,
499,191286408,20,2019-06,
500,164796418,18,2019-06,
501,131044128,13,2019-06,
502,178685945,10,2019-06,
503,136450404,8,2019-06,
504,171811851,6,2019-06,
505,179445887,4,2019-06,
506,101101544,4,2019-06,
507,127058653,3,2019-06,
508,127693333,1,2019-06,
509,161509700,1,2019-06,
510,103466347,1,2019-06,
511,173032424,1,2019-06,
512,123634214,1,2019-06,
513,75912778,1,2019-06,
514,125206311,1,2019-06,
515,189339212,0,2019-06,
516,88868842,582,2019-07,models
517,65711522,463,2019-07,Paddle
518,173544440,407,2019-07,
519,76616099,171,2019-07,
520,162672577,132,2019-07,PaddleHub
521,131044128,97,2019-07,
522,104208128,91,2019-07,
523,114885555,44,2019-07,
524,110688239,41,2019-07,
525,133907444,16,2019-07,
526,178685945,12,2019-07,
527,164796418,11,2019-07,
528,191286408,11,2019-07,
529,136450404,9,2019-07,
530,171811851,9,2019-07,
531,161509700,8,2019-07,
532,127058653,4,2019-07,
533,123634214,4,2019-07,
534,196743910,4,2019-07,
535,179445887,3,2019-07,
536,103466347,3,2019-07,
537,173032424,1,2019-07,
538,89484677,1,2019-07,
539,93210289,1,2019-07,
540,101101544,1,2019-07,
541,127693333,0,2019-07,
542,197501786,0,2019-07,
543,75912778,0,2019-07,
544,125206311,0,2019-07,
545,173544440,580,2019-08,
546,88868842,366,2019-08,models
547,65711522,313,2019-08,Paddle
548,104208128,164,2019-08,
549,76616099,50,2019-08,
550,204380779,49,2019-08,PaddleSeg
551,131044128,40,2019-08,
552,110688239,40,2019-08,
553,114885555,30,2019-08,
554,162672577,26,2019-08,PaddleHub
555,196743910,21,2019-08,
556,164796418,19,2019-08,
557,161509700,19,2019-08,
558,133907444,15,2019-08,
559,191286408,10,2019-08,
560,203736612,10,2019-08,
561,171811851,7,2019-08,
562,203514079,4,2019-08,
563,178685945,4,2019-08,
564,125206311,3,2019-08,
565,127693333,3,2019-08,
566,89484677,3,2019-08,
567,123634214,3,2019-08,
568,136450404,3,2019-08,
569,173032424,2,2019-08,
570,127058653,2,2019-08,
571,75912778,2,2019-08,
572,78517160,1,2019-08,
573,98599362,1,2019-08,
574,137793455,1,2019-08,
575,103466347,1,2019-08,
576,179445887,1,2019-08,
577,101101544,1,2019-08,
578,197501786,0,2019-08,
579,203899406,0,2019-08,
580,88868842,269,2019-09,models
581,173544440,210,2019-09,
582,65711522,203,2019-09,Paddle
583,204380779,173,2019-09,PaddleSeg
584,104208128,58,2019-09,
585,76616099,50,2019-09,
586,162672577,34,2019-09,PaddleHub
587,110688239,32,2019-09,
588,114885555,24,2019-09,
589,131044128,22,2019-09,
590,164796418,13,2019-09,
591,171811851,12,2019-09,
592,133907444,10,2019-09,
593,196743910,9,2019-09,
594,210520127,6,2019-09,
595,136450404,6,2019-09,
596,178685945,5,2019-09,
597,203514079,5,2019-09,
598,191286408,4,2019-09,
599,203899406,4,2019-09,
600,203736612,3,2019-09,
601,161509700,3,2019-09,
602,210873203,1,2019-09,
603,127058653,1,2019-09,
604,101101544,1,2019-09,
605,123634214,1,2019-09,
606,103466347,0,2019-09,
607,127693333,0,2019-09,
608,173032424,0,2019-09,
609,125206311,0,2019-09,
610,88868842,260,2019-10,models
611,65711522,197,2019-10,Paddle
612,173544440,129,2019-10,
613,76616099,56,2019-10,
614,104208128,44,2019-10,
615,110688239,42,2019-10,
616,114885555,28,2019-10,
617,204380779,22,2019-10,PaddleSeg
618,162672577,18,2019-10,PaddleHub
619,131044128,17,2019-10,
620,217475193,15,2019-10,PaddleDetection
621,164796418,14,2019-10,
622,171811851,10,2019-10,
623,210873203,7,2019-10,
624,191286408,5,2019-10,
625,210520127,5,2019-10,
626,133907444,5,2019-10,
627,203514079,4,2019-10,
628,161509700,4,2019-10,
629,178685945,3,2019-10,
630,127058653,3,2019-10,
631,136450404,3,2019-10,
632,196743910,2,2019-10,
633,173032424,1,2019-10,
634,203899406,1,2019-10,
635,123634214,1,2019-10,
636,127693333,1,2019-10,
637,203736612,1,2019-10,
638,189339212,0,2019-10,
639,88868842,407,2019-11,models
640,65711522,250,2019-11,Paddle
641,173544440,116,2019-11,
642,191286408,82,2019-11,
643,104208128,63,2019-11,
644,131044128,55,2019-11,
645,217475193,53,2019-11,PaddleDetection
646,110688239,51,2019-11,
647,76616099,41,2019-11,
648,162672577,30,2019-11,PaddleHub
649,210520127,24,2019-11,
650,204380779,23,2019-11,PaddleSeg
651,114885555,17,2019-11,
652,210873203,17,2019-11,
653,164796418,14,2019-11,
654,171811851,12,2019-11,
655,203514079,11,2019-11,
656,178685945,8,2019-11,
657,133907444,7,2019-11,
658,161509700,5,2019-11,
659,136450404,5,2019-11,
660,123634214,4,2019-11,
661,196743910,4,2019-11,
662,224622052,4,2019-11,
663,89484677,3,2019-11,
664,173032424,2,2019-11,
665,127058653,1,2019-11,
666,179445887,1,2019-11,
667,101101544,1,2019-11,
668,203899406,0,2019-11,
669,127693333,0,2019-11,
670,103466347,0,2019-11,
671,125206311,0,2019-11,
672,203736612,0,2019-11,
673,88868842,268,2019-12,models
674,65711522,236,2019-12,Paddle
675,173544440,177,2019-12,
676,217475193,66,2019-12,PaddleDetection
677,104208128,61,2019-12,
678,76616099,58,2019-12,
679,110688239,47,2019-12,
680,204380779,45,2019-12,PaddleSeg
681,162672577,33,2019-12,PaddleHub
682,191286408,22,2019-12,
683,131044128,21,2019-12,
684,210873203,16,2019-12,
685,164796418,14,2019-12,
686,171811851,13,2019-12,
687,114885555,12,2019-12,
688,228290594,10,2019-12,PaddleSlim
689,225549581,9,2019-12,
690,133907444,9,2019-12,
691,127058653,7,2019-12,
692,203514079,6,2019-12,
693,178685945,4,2019-12,
694,161509700,4,2019-12,
695,224622052,4,2019-12,
696,123634214,3,2019-12,
697,227347371,3,2019-12,
698,210520127,3,2019-12,
699,136450404,3,2019-12,
700,196743910,2,2019-12,
701,227880026,2,2019-12,
702,228297846,1,2019-12,
703,203736612,1,2019-12,
704,127693333,1,2019-12,
705,75912778,1,2019-12,
706,98599362,1,2019-12,
707,203899406,1,2019-12,
708,103466347,0,2019-12,
709,93210289,0,2019-12,
710,197501786,0,2019-12,
711,189339212,0,2019-12,
712,101101544,0,2019-12,
713,88800008,0,2019-12,
714,92895339,0,2019-12,
715,173032424,0,2019-12,
716,137793455,0,2019-12,
717,89484677,0,2019-12,
718,179445887,0,2019-12,
719,125206311,0,2019-12,
720,88868842,156,2020-01,models
721,65711522,150,2020-01,Paddle
722,173544440,128,2020-01,
723,110688239,40,2020-01,
724,131044128,32,2020-01,
725,162672577,29,2020-01,PaddleHub
726,217475193,27,2020-01,PaddleDetection
727,76616099,24,2020-01,
728,104208128,23,2020-01,
729,114885555,22,2020-01,
730,204380779,18,2020-01,PaddleSeg
731,228290594,9,2020-01,PaddleSlim
732,210873203,8,2020-01,
733,191286408,8,2020-01,
734,164796418,6,2020-01,
735,225549581,5,2020-01,
736,171811851,4,2020-01,
737,133907444,4,2020-01,
738,178685945,3,2020-01,
739,123634214,3,2020-01,
740,227880026,2,2020-01,
741,210520127,2,2020-01,
742,196743910,2,2020-01,
743,127058653,1,2020-01,
744,227347371,1,2020-01,
745,161509700,1,2020-01,
746,127693333,0,2020-01,
747,137793455,0,2020-01,
748,228297846,0,2020-01,
749,136450404,0,2020-01,
750,224622052,0,2020-01,
751,173032424,0,2020-01,
752,203514079,0,2020-01,
753,203899406,0,2020-01,
754,88868842,188,2020-02,models
755,65711522,128,2020-02,Paddle
756,162672577,89,2020-02,PaddleHub
757,104208128,65,2020-02,
758,173544440,61,2020-02,
759,217475193,48,2020-02,PaddleDetection
760,110688239,27,2020-02,
761,131044128,25,2020-02,
762,76616099,22,2020-02,
763,225549581,21,2020-02,
764,204380779,18,2020-02,PaddleSeg
765,114885555,18,2020-02,
766,164796418,12,2020-02,
767,228290594,11,2020-02,PaddleSlim
768,171811851,10,2020-02,
769,210520127,6,2020-02,
770,178685945,5,2020-02,
771,203514079,5,2020-02,
772,191286408,4,2020-02,
773,240226378,4,2020-02,
774,123634214,4,2020-02,
775,210873203,3,2020-02,
776,227347371,3,2020-02,
777,133907444,3,2020-02,
778,227880026,3,2020-02,
779,243677660,2,2020-02,
780,224622052,2,2020-02,
781,228297846,1,2020-02,
782,127693333,1,2020-02,
783,161509700,1,2020-02,
784,196743910,1,2020-02,
785,127058653,1,2020-02,
786,103466347,0,2020-02,
787,173032424,0,2020-02,
788,136450404,0,2020-02,
789,240230342,0,2020-02,
790,88868842,272,2020-03,models
791,65711522,264,2020-03,Paddle
792,228290594,120,2020-03,PaddleSlim
793,173544440,106,2020-03,
794,243677660,103,2020-03,
795,162672577,88,2020-03,PaddleHub
796,217475193,78,2020-03,PaddleDetection
797,104208128,71,2020-03,
798,240226378,38,2020-03,
799,204380779,35,2020-03,PaddleSeg
800,114885555,31,2020-03,
801,110688239,30,2020-03,
802,76616099,25,2020-03,
803,131044128,22,2020-03,
804,178685945,19,2020-03,
805,246509073,10,2020-03,
806,164796418,9,2020-03,
807,203514079,9,2020-03,
808,227347371,8,2020-03,
809,210520127,8,2020-03,
810,250154445,8,2020-03,
811,191286408,8,2020-03,
812,210873203,7,2020-03,
813,251201169,7,2020-03,
814,133907444,5,2020-03,
815,196743910,5,2020-03,
816,225549581,4,2020-03,
817,123634214,4,2020-03,
818,244790548,3,2020-03,
819,171811851,3,2020-03,
820,127058653,3,2020-03,
821,161509700,2,2020-03,
822,136450404,2,2020-03,
823,227880026,2,2020-03,
824,224622052,1,2020-03,
825,203736612,1,2020-03,
826,240230342,1,2020-03,
827,179445887,1,2020-03,
828,137793455,0,2020-03,
829,103466347,0,2020-03,
830,228297846,0,2020-03,
831,125206311,0,2020-03,
832,203899406,0,2020-03,
833,127693333,0,2020-03,
834,98599362,0,2020-03,
835,173032424,0,2020-03,
836,89484677,0,2020-03,
837,162672577,535,2020-04,PaddleHub
